Title,Author
Gaslighter,Moira Dela Torre
Wonder,Moira Dela Torre
Dinggin,Moira Dela Torre
Ikaw at Sila,Moira Dela Torre
Buwan Tala,Ben&Ben
Gabi Araw,Ben&Ben
Haplos Damdamin,Ben&Ben
Tingin Kuwento,Ben&Ben
Pintig Kulay,Ben&Ben
Lakad Sulyap,Ben&Ben
Himig Sana,Ben&Ben
Hangin Sinta,Ben&Ben
Lihim Pag-ibig,Ben&Ben
Tamis Layo,Ben&Ben
Balik Alaala,Zack Tabudlo
Bitaw Saan,Zack Tabudlo
Tayo Nawala,Zack Tabudlo
Sabay Alon,Zack Tabudlo
Talao Sulyap,Zack Tabudlo
Sigaw Tahimik,Zack Tabudlo
Lapis Kulay,Zack Tabudlo
Tulay Takipsilim,Zack Tabudlo
Sulyap Sigaw (Acoustic),Zack Tabudlo
Buwan Gabi,December Avenue
Tala Araw,December Avenue
Haplos Damdamin,December Avenue
Tingin Kuwento,December Avenue
Pintig Kulay,December Avenue
Lakad Sulyap,December Avenue
Himig Sana,December Avenue
Hangin Sinta,December Avenue
Lihim Pag-ibig,December Avenue
Sana Tayo,December Avenue
Tamis Layo,Juan Karlos
Balik Alaala,Juan Karlos
Bitaw Saan,Juan Karlos
Tayo Nawala,Juan Karlos
Sabay Alon,Juan Karlos
Talao Sulyap,Juan Karlos
Sigaw Tahimik,Juan Karlos
Lapis Kulay,Juan Karlos
Tulay Takipsilim,Juan Karlos
Sulyap Sigaw,SB19
Buwan Gabi,SB19
Tala Araw,SB19
Haplos Damdamin,SB19
Tingin Kuwento,SB19
Pintig Kulay,SB19
Lakad Sulyap,SB19
Himig Sana,SB19
Hangin Sinta,SB19
Lihim Pag-ibig,SB19
Tamis Layo,Lola Amour
Balik Alaala,Lola Amour
Bitaw Saan,Lola Amour
Tayo Nawala,Lola Amour
Sabay Alon,Lola Amour
Talao Sulyap,Lola Amour
Sigaw Tahimik,Lola Amour
Lapis Kulay,Lola Amour
Tulay Takipsilim,Lola Amour
Sulyap Sigaw,Al James
Buwan Gabi,Al James
Tala Araw,Al James
Haplos Damdamin,Al James
Tingin Kuwento,Al James
Pintig Kulay,Al James
Lakad Sulyap,Al James
Himig Sana,Al James
Hangin Sinta,Al James
Lihim Pag-ibig,Al James
Tamis Layo,Unique Salonga
Balik Alaala,Unique Salonga
Bitaw Saan,Unique Salonga
Tayo Nawala,Unique Salonga
Sabay Alon,Unique Salonga
Talao Sulyap,Unique Salonga
Sigaw Tahimik,Unique Salonga
Lapis Kulay,Unique Salonga
Tulay Takipsilim,Unique Salonga
Sulyap Sigaw,IV of Spades
Buwan Gabi,IV of Spades
Tala Araw,IV of Spades
Haplos Damdamin,IV of Spades
Tingin Kuwento,IV of Spades
Pintig Kulay,IV of Spades
Lakad Sulyap,IV of Spades
Himig Sana,IV of Spades
Hangin Sinta,IV of Spades
Lihim Pag-ibig,IV of Spades
Tamis Layo,Autotelic
Balik Alaala,Autotelic
Bitaw Saan,Autotelic
Tayo Nawala,Autotelic
Sabay Alon,Autotelic
Talao Sulyap,Autotelic
Sigaw Tahimik,Autotelic
Lapis Kulay,Autotelic
Tulay Takipsilim,Autotelic
Sulyap Sigaw,Leanne & Naara
Buwan Gabi,Leanne & Naara
Tala Araw,Leanne & Naara
Haplos Damdamin,Leanne & Naara
Tingin Kuwento,Leanne & Naara
Pintig Kulay,Leanne & Naara
Lakad Sulyap,Leanne & Naara
Himig Sana,Leanne & Naara
Hangin Sinta,Leanne & Naara
Lihim Pag-ibig,Leanne & Naara
Tamis Layo,The Juans
Balik Alaala,The Juans
Bitaw Saan,The Juans
Tayo Nawala,The Juans
Sabay Alon,The Juans
Talao Sulyap,The Juans
Sigaw Tahimik,The Juans
Lapis Kulay,The Juans
Tulay Takipsilim,The Juans
Sulyap Sigaw,Janine Teñoso
Buwan Gabi,Janine Teñoso
Tala Araw,Janine Teñoso
Haplos Damdamin,Janine Teñoso
Tingin Kuwento,Janine Teñoso
Pintig Kulay,Janine Teñoso
Lakad Sulyap,Janine Teñoso
Himig Sana,Janine Teñoso
Hangin Sinta,Janine Teñoso
Lihim Pag-ibig,Janine Teñoso
Tamis Layo,Clara Benin
Balik Alaala,Clara Benin
Bitaw Saan,Clara Benin
Tayo Nawala,Clara Benin
Sabay Alon,Clara Benin
Talao Sulyap,Clara Benin
Sigaw Tahimik,Clara Benin
Lapis Kulay,Clara Benin
Tulay Takipsilim,Clara Benin
Sulyap Sigaw,Reese Lansangan
Buwan Gabi,Reese Lansangan
Tala Araw,Reese Lansangan
Haplos Damdamin,Reese Lansangan
Tingin Kuwento,Reese Lansangan
Pintig Kulay,Reese Lansangan
Lakad Sulyap,Reese Lansangan
Himig Sana,Reese Lansangan
Hangin Sinta,Reese Lansangan
Lihim Pag-ibig,Reese Lansangan
Tamis Layo,Shanti Dope
Balik Alaala,Shanti Dope
Bitaw Saan,Shanti Dope
Tayo Nawala,Shanti Dope
Sabay Alon,Shanti Dope
Talao Sulyap,Shanti Dope
Sigaw Tahimik,Shanti Dope
Lapis Kulay,Shanti Dope
Tulay Takipsilim,Shanti Dope
Sulyap Sigaw,KZ Tandingan
Buwan Gabi,KZ Tandingan
Tala Araw,KZ Tandingan
Haplos Damdamin,KZ Tandingan
Tingin Kuwento,KZ Tandingan
Pintig Kulay,KZ Tandingan
Lakad Sulyap,KZ Tandingan
Himig Sana,KZ Tandingan
Hangin Sinta,KZ Tandingan
Lihim Pag-ibig,KZ Tandingan
Tamis Layo,Gloc-9
Balik Alaala,Gloc-9
Bitaw Saan,Gloc-9
Tayo Nawala,Gloc-9
Sabay Alon,Gloc-9
Talao Sulyap,Gloc-9
Sigaw Tahimik,Gloc-9
Lapis Kulay,Gloc-9
Tulay Takipsilim,Gloc-9
Sulyap Sigaw,Munimuni
Buwan Gabi,Munimuni
Tala Araw,Munimuni
Haplos Damdamin,Munimuni
Tingin Kuwento,Munimuni
Pintig Kulay,Munimuni
Lakad Sulyap,Munimuni
Himig Sana,Munimuni
Hangin Sinta,Munimuni
Lihim Pag-ibig,Munimuni
Tamis Layo,SunKissed Lola
Balik Alaala,SunKissed Lola
Bitaw Saan,SunKissed Lola
Tayo Nawala,SunKissed Lola
Sabay Alon,SunKissed Lola
Talao Sulyap,SunKissed Lola
Sigaw Tahimik,SunKissed Lola
Lapis Kulay,SunKissed Lola
Tulay Takipsilim,SunKissed Lola
Sulyap Sigaw,Moonsong
Buwan Gabi,Moonsong
Tala Araw,Moonsong
Haplos Damdamin,Moonsong
Tingin Kuwento,Moonsong
Pintig Kulay,Moonsong
Lakad Sulyap,Moonsong
Himig Sana,Moonsong
Hangin Sinta,Moonsong
Lihim Pag-ibig,Moonsong
Tamis Layo,Cueshe
Balik Alaala,Cueshe
Bitaw Saan,Cueshe
Tayo Nawala,Cueshe
Sabay Alon,Cueshe
Talao Sulyap,Cueshe
Sigaw Tahimik,Cueshe
Lapis Kulay,Cueshe
Tulay Takipsilim,Cueshe
Sulyap Sigaw,Up Dharma Down
Buwan Gabi,Up Dharma Down
Tala Araw,Up Dharma Down
Haplos Damdamin,Up Dharma Down
Tingin Kuwento,Up Dharma Down
Pintig Kulay,Up Dharma Down
Lakad Sulyap,Up Dharma Down
Himig Sana,Up Dharma Down
Hangin Sinta,Up Dharma Down
Lihim Pag-ibig,Up Dharma Down
Tamis Layo,Sam Mangubat
Balik Alaala,Sam Mangubat
Bitaw Saan,Sam Mangubat
Tayo Nawala,Sam Mangubat
Sabay Alon,Sam Mangubat
Talao Sulyap,Sam Mangubat
Sigaw Tahimik,Sam Mangubat
Lapis Kulay,Sam Mangubat
Tulay Takipsilim,Sam Mangubat
Sulyap Sigaw,Aegis
Buwan Gabi,Aegis
Tala Araw,Aegis
Haplos Damdamin,Aegis
Tingin Kuwento,Aegis
Pintig Kulay,Aegis
Lakad Sulyap,Aegis
Himig Sana,Aegis
Hangin Sinta,Aegis
Lihim Pag-ibig,Aegis
Tamis Layo,Agsunta
Balik Alaala,Agsunta
Bitaw Saan,Agsunta
Tayo Nawala,Agsunta
Sabay Alon,Agsunta
Talao Sulyap,Agsunta
Sigaw Tahimik,Agsunta
Lapis Kulay,Agsunta
Tulay Takipsilim,Agsunta
Sulyap Sigaw,Gyro
Buwan Gabi,Gyro
Tala Araw,Gyro
Haplos Damdamin,Gyro
Tingin Kuwento,Gyro
Pintig Kulay,Gyro
Lakad Sulyap,Gyro
Himig Sana,Gyro
Hangin Sinta,Gyro
Lihim Pag-ibig,Gyro
Tamis Layo,Neocolours
Balik Alaala,Neocolours
Bitaw Saan,Neocolours
Tayo Nawala,Neocolours
Sabay Alon,Neocolours
Talao Sulyap,Neocolours
Sigaw Tahimik,Neocolours
Lapis Kulay,Neocolours
Tulay Takipsilim,Neocolours
Sulyap Sigaw,Sponge Cola
Buwan Gabi,Sponge Cola
Tala Araw,Sponge Cola
Haplos Damdamin,Sponge Cola
Tingin Kuwento,Sponge Cola
Pintig Kulay,Sponge Cola
Lakad Sulyap,Sponge Cola
Himig Sana,Sponge Cola
Hangin Sinta,Sponge Cola
Lihim Pag-ibig,Sponge Cola
Tamis Layo,Ebe Dancel
Balik Alaala,Ebe Dancel
Bitaw Saan,Ebe Dancel
Tayo Nawala,Ebe Dancel
Sabay Alon,Ebe Dancel
Talao Sulyap,Ebe Dancel
Sigaw Tahimik,Ebe Dancel
Lapis Kulay,Ebe Dancel
Tulay Takipsilim,Ebe Dancel
Sulyap Sigaw,Levi's Band
Buwan Gabi,Levi's Band
Tala Araw,Levi's Band
Haplos Damdamin,Levi's Band
Tingin Kuwento,Levi's Band
Pintig Kulay,Levi's Band
Lakad Sulyap,Levi's Band
Himig Sana,Levi's Band
Hangin Sinta,Levi's Band
Lihim Pag-ibig,Levi's Band
Tamis Layo,Morissette
Balik Alaala,Morissette
Bitaw Saan,Morissette
Tayo Nawala,Morissette
Sabay Alon,Morissette
Talao Sulyap,Morissette
Sigaw Tahimik,Morissette
Lapis Kulay,Morissette
Tulay Takipsilim,Morissette
Sulyap Sigaw,Jason Dhakal
Buwan Gabi,Jason Dhakal
Tala Araw,Jason Dhakal
Haplos Damdamin,Jason Dhakal
Tingin Kuwento,Jason Dhakal
Pintig Kulay,Jason Dhakal
Lakad Sulyap,Jason Dhakal
Himig Sana,Jason Dhakal
Hangin Sinta,Jason Dhakal
Lihim Pag-ibig,Jason Dhakal
Tamis Layo,Keiko Necesario
Balik Alaala,Keiko Necesario
Bitaw Saan,Keiko Necesario
Tayo Nawala,Keiko Necesario
Sabay Alon,Keiko Necesario
Talao Sulyap,Keiko Necesario
Sigaw Tahimik,Keiko Necesario
Lapis Kulay,Keiko Necesario
Tulay Takipsilim,Keiko Necesario
Sulyap Sigaw,SURU
Buwan Gabi,SURU
Tala Araw,SURU
Haplos Damdamin,SURU
Tingin Kuwento,SURU
Pintig Kulay,SURU
Lakad Sulyap,SURU
Himig Sana,SURU
Hangin Sinta,SURU
Lihim Pag-ibig,SURU
Tamis Layo,Juan Miguel
Balik Alaala,Juan Miguel
Bitaw Saan,Juan Miguel
Tayo Nawala,Juan Miguel
Sabay Alon,Juan Miguel
Talao Sulyap,Juan Miguel
Sigaw Tahimik,Juan Miguel
Lapis Kulay,Juan Miguel
Tulay Takipsilim,Juan Miguel
Sulyap Sigaw,The Itchyworms
Buwan Gabi,The Itchyworms
Tala Araw,The Itchyworms
Haplos Damdamin,The Itchyworms
Tingin Kuwento,The Itchyworms
Pintig Kulay,The Itchyworms
Lakad Sulyap,The Itchyworms
Himig Sana,The Itchyworms
Hangin Sinta,The Itchyworms
Lihim Pag-ibig,The Itchyworms
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,December Avenue (Acoustic)
Buwan Gabi,December Avenue (Acoustic)
Tala Araw,December Avenue (Acoustic)
Haplos Damdamin,December Avenue (Acoustic)
Tingin Kuwento,December Avenue (Acoustic)
Pintig Kulay,December Avenue (Acoustic)
Lakad Sulyap,December Avenue (Acoustic)
Himig Sana,December Avenue (Acoustic)
Hangin Sinta,December Avenue (Acoustic)
Lihim Pag-ibig,December Avenue (Acoustic)
Tamis Layo,Unique Salonga (Solo)
Balik Alaala,Unique Salonga (Solo)
Bitaw Saan,Unique Salonga (Solo)
Tayo Nawala,Unique Salonga (Solo)
Sabay Alon,Unique Salonga (Solo)
Talao Sulyap,Unique Salonga (Solo)
Sigaw Tahimik,Unique Salonga (Solo)
Lapis Kulay,Unique Salonga (Solo)
Tulay Takipsilim,Unique Salonga (Solo)
Sulyap Sigaw,Zild
Buwan Gabi,Zild
Tala Araw,Zild
Haplos Damdamin,Zild
Tingin Kuwento,Zild
Pintig Kulay,Zild
Lakad Sulyap,Zild
Himig Sana,Zild
Hangin Sinta,Zild
Lihim Pag-ibig,Zild
Tamis Layo,Sud
Balik Alaala,Sud
Bitaw Saan,Sud
Tayo Nawala,Sud
Sabay Alon,Sud
Talao Sulyap,Sud
Sigaw Tahimik,Sud
Lapis Kulay,Sud
Tulay Takipsilim,Sud
Sulyap Sigaw,Ben&Ben Acoustic
Buwan Gabi,Ben&Ben Acoustic
Tala Araw,Ben&Ben Acoustic
Haplos Damdamin,Ben&Ben Acoustic
Tingin Kuwento,Ben&Ben Acoustic
Pintig Kulay,Ben&Ben Acoustic
Lakad Sulyap,Ben&Ben Acoustic
Himig Sana,Ben&Ben Acoustic
Hangin Sinta,Ben&Ben Acoustic
Lihim Pag-ibig,Ben&Ben Acoustic
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,Gyro
Buwan Gabi,Gyro
Tala Araw,Gyro
Haplos Damdamin,Gyro
Tingin Kuwento,Gyro
Pintig Kulay,Gyro
Lakad Sulyap,Gyro
Himig Sana,Gyro
Hangin Sinta,Gyro
Lihim Pag-ibig,Gyro
Tamis Layo,Neocolours
Balik Alaala,Neocolours
Bitaw Saan,Neocolours
Tayo Nawala,Neocolours
Sabay Alon,Neocolours
Talao Sulyap,Neocolours
Sigaw Tahimik,Neocolours
Lapis Kulay,Neocolours
Tulay Takipsilim,Neocolours
Sulyap Sigaw,Sponge Cola
Buwan Gabi,Sponge Cola
Tala Araw,Sponge Cola
Haplos Damdamin,Sponge Cola
Tingin Kuwento,Sponge Cola
Pintig Kulay,Sponge Cola
Lakad Sulyap,Sponge Cola
Himig Sana,Sponge Cola
Hangin Sinta,Sponge Cola
Lihim Pag-ibig,Sponge Cola
Tamis Layo,Ebe Dancel
Balik Alaala,Ebe Dancel
Bitaw Saan,Ebe Dancel
Tayo Nawala,Ebe Dancel
Sabay Alon,Ebe Dancel
Talao Sulyap,Ebe Dancel
Sigaw Tahimik,Ebe Dancel
Lapis Kulay,Ebe Dancel
Tulay Takipsilim,Ebe Dancel
Sulyap Sigaw,Levi's Band
Buwan Gabi,Levi's Band
Tala Araw,Levi's Band
Haplos Damdamin,Levi's Band
Tingin Kuwento,Levi's Band
Pintig Kulay,Levi's Band
Lakad Sulyap,Levi's Band
Himig Sana,Levi's Band
Hangin Sinta,Levi's Band
Lihim Pag-ibig,Levi's Band
Tamis Layo,Morissette
Balik Alaala,Morissette
Bitaw Saan,Morissette
Tayo Nawala,Morissette
Sabay Alon,Morissette
Talao Sulyap,Morissette
Sigaw Tahimik,Morissette
Lapis Kulay,Morissette
Tulay Takipsilim,Morissette
Sulyap Sigaw,Jason Dhakal
Buwan Gabi,Jason Dhakal
Tala Araw,Jason Dhakal
Haplos Damdamin,Jason Dhakal
Tingin Kuwento,Jason Dhakal
Pintig Kulay,Jason Dhakal
Lakad Sulyap,Jason Dhakal
Himig Sana,Jason Dhakal
Hangin Sinta,Jason Dhakal
Lihim Pag-ibig,Jason Dhakal
Tamis Layo,Keiko Necesario
Balik Alaala,Keiko Necesario
Bitaw Saan,Keiko Necesario
Tayo Nawala,Keiko Necesario
Sabay Alon,Keiko Necesario
Talao Sulyap,Keiko Necesario
Sigaw Tahimik,Keiko Necesario
Lapis Kulay,Keiko Necesario
Tulay Takipsilim,Keiko Necesario
Sulyap Sigaw,SURU
Buwan Gabi,SURU
Tala Araw,SURU
Haplos Damdamin,SURU
Tingin Kuwento,SURU
Pintig Kulay,SURU
Lakad Sulyap,SURU
Himig Sana,SURU
Hangin Sinta,SURU
Lihim Pag-ibig,SURU
Tamis Layo,Juan Miguel
Balik Alaala,Juan Miguel
Bitaw Saan,Juan Miguel
Tayo Nawala,Juan Miguel
Sabay Alon,Juan Miguel
Talao Sulyap,Juan Miguel
Sigaw Tahimik,Juan Miguel
Lapis Kulay,Juan Miguel
Tulay Takipsilim,Juan Miguel
Sulyap Sigaw,The Itchyworms
Buwan Gabi,The Itchyworms
Tala Araw,The Itchyworms
Haplos Damdamin,The Itchyworms
Tingin Kuwento,The Itchyworms
Pintig Kulay,The Itchyworms
Lakad Sulyap,The Itchyworms
Himig Sana,The Itchyworms
Hangin Sinta,The Itchyworms
Lihim Pag-ibig,The Itchyworms
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,December Avenue (Acoustic)
Buwan Gabi,December Avenue (Acoustic)
Tala Araw,December Avenue (Acoustic)
Haplos Damdamin,December Avenue (Acoustic)
Tingin Kuwento,December Avenue (Acoustic)
Pintig Kulay,December Avenue (Acoustic)
Lakad Sulyap,December Avenue (Acoustic)
Himig Sana,December Avenue (Acoustic)
Hangin Sinta,December Avenue (Acoustic)
Lihim Pag-ibig,December Avenue (Acoustic)
Tamis Layo,Unique Salonga (Solo)
Balik Alaala,Unique Salonga (Solo)
Bitaw Saan,Unique Salonga (Solo)
Tayo Nawala,Unique Salonga (Solo)
Sabay Alon,Unique Salonga (Solo)
Talao Sulyap,Unique Salonga (Solo)
Sigaw Tahimik,Unique Salonga (Solo)
Lapis Kulay,Unique Salonga (Solo)
Tulay Takipsilim,Unique Salonga (Solo)
Sulyap Sigaw,Zild
Buwan Gabi,Zild
Tala Araw,Zild
Haplos Damdamin,Zild
Tingin Kuwento,Zild
Pintig Kulay,Zild
Lakad Sulyap,Zild
Himig Sana,Zild
Hangin Sinta,Zild
Lihim Pag-ibig,Zild
Tamis Layo,Sud
Balik Alaala,Sud
Bitaw Saan,Sud
Tayo Nawala,Sud
Sabay Alon,Sud
Talao Sulyap,Sud
Sigaw Tahimik,Sud
Lapis Kulay,Sud
Tulay Takipsilim,Sud
Sulyap Sigaw,Ben&Ben Acoustic
Buwan Gabi,Ben&Ben Acoustic
Tala Araw,Ben&Ben Acoustic
Haplos Damdamin,Ben&Ben Acoustic
Tingin Kuwento,Ben&Ben Acoustic
Pintig Kulay,Ben&Ben Acoustic
Lakad Sulyap,Ben&Ben Acoustic
Himig Sana,Ben&Ben Acoustic
Hangin Sinta,Ben&Ben Acoustic
Lihim Pag-ibig,Ben&Ben Acoustic
Tamis Layo,IV of Spades (feat)
Balik Alaala,IV of Spades (feat)
Bitaw Saan,IV of Spades (feat)
Tayo Nawala,IV of Spades (feat)
Sabay Alon,IV of Spades (feat)
Talao Sulyap,IV of Spades (feat)
Sigaw Tahimik,IV of Spades (feat)
Lapis Kulay,IV of Spades (feat)
Tulay Takipsilim,IV of Spades (feat)
Sulyap Sigaw,Gyro
Buwan Gabi,Gyro
Tala Araw,Gyro
Haplos Damdamin,Gyro
Tingin Kuwento,Gyro
Pintig Kulay,Gyro
Lakad Sulyap,Gyro
Himig Sana,Gyro
Hangin Sinta,Gyro
Lihim Pag-ibig,Gyro
Tamis Layo,Neocolours
Balik Alaala,Neocolours
Bitaw Saan,Neocolours
Tayo Nawala,Neocolours
Sabay Alon,Neocolours
Talao Sulyap,Neocolours
Sigaw Tahimik,Neocolours
Lapis Kulay,Neocolours
Tulay Takipsilim,Neocolours
Sulyap Sigaw,Sponge Cola
Buwan Gabi,Sponge Cola
Tala Araw,Sponge Cola
Haplos Damdamin,Sponge Cola
Tingin Kuwento,Sponge Cola
Pintig Kulay,Sponge Cola
Lakad Sulyap,Sponge Cola
Himig Sana,Sponge Cola
Hangin Sinta,Sponge Cola
Lihim Pag-ibig,Sponge Cola
Tamis Layo,Ebe Dancel
Balik Alaala,Ebe Dancel
Bitaw Saan,Ebe Dancel
Tayo Nawala,Ebe Dancel
Sabay Alon,Ebe Dancel
Talao Sulyap,Ebe Dancel
Sigaw Tahimik,Ebe Dancel
Lapis Kulay,Ebe Dancel
Tulay Takipsilim,Ebe Dancel
Sulyap Sigaw,Levi's Band
Buwan Gabi,Levi's Band
Tala Araw,Levi's Band
Haplos Damdamin,Levi's Band
Tingin Kuwento,Levi's Band
Pintig Kulay,Levi's Band
Lakad Sulyap,Levi's Band
Himig Sana,Levi's Band
Hangin Sinta,Levi's Band
Lihim Pag-ibig,Levi's Band
Tamis Layo,Morissette
Balik Alaala,Morissette
Bitaw Saan,Morissette
Tayo Nawala,Morissette
Sabay Alon,Morissette
Talao Sulyap,Morissette
Sigaw Tahimik,Morissette
Lapis Kulay,Morissette
Tulay Takipsilim,Morissette
Sulyap Sigaw,Jason Dhakal
Buwan Gabi,Jason Dhakal
Tala Araw,Jason Dhakal
